DEBUG 2026-07-11 02:24:51,505 autoreload 13996 22792 File C:\Users\aryan\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\core\files\images.py first seen with mtime 1783716773.3103552
DEBUG 2026-07-11 02:24:51,505 autoreload 13996 22792 File C:\Users\aryan\AppData\Local\Programs\Python\Python312\Lib\site-packages\numpy\core\numerictypes.py first seen with mtime 1782378403.5466125
DEBUG 2026-07-11 02:24:51,505 autoreload 13996 22792 File C:\Users\aryan\AppData\Local\Programs\Python\Python312\Lib\unittest\signals.py first seen with mtime 1744097214.0
DEBUG 2026-07-11 02:24:51,506 autoreload 13996 22792 File C:\Users\aryan\AppData\Local\Programs\Python\Python312\Lib\asyncio\selector_events.py first seen with mtime 1744097212.0
DEBUG 2026-07-11 02:24:51,506 autoreload 13996 22792 File C:\Users\aryan\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\core\signals.py first seen with mtime 1783716773.2967777
DEBUG 2026-07-11 02:24:51,506 autoreload 13996 22792 File C:\Users\aryan\AppData\Local\Programs\Python\Python312\Lib\site-packages\pygments\formatters\_mapping.py first seen with mtime 1782847642.4470997
DEBUG 2026-07-11 02:24:51,506 autoreload 13996 22792 File C:\Users\aryan\AppData\Local\Programs\Python\Python312\Lib\site-packages\psycopg\types\numpy.py first seen with mtime 1780865491.2892592
DEBUG 2026-07-11 02:24:51,506 autoreload 13996 22792 File C:\Users\aryan\AppData\Local\Programs\Python\Python312\Lib\site-packages\urllib3\_version.py first seen with mtime 1781958276.834942
DEBUG 2026-07-11 02:24:51,506 autoreload 13996 22792 File C:\Users\aryan\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\db\migrations\__init__.py first seen with mtime 1783716773.3742564
DEBUG 2026-07-11 02:24:51,506 autoreload 13996 22792 File C:\Users\aryan\AppData\Local\Programs\Python\Python312\Lib\email\mime\text.py first seen with mtime 1744097212.0
DEBUG 2026-07-11 02:24:51,507 autoreload 13996 22792 File C:\Users\aryan\AppData\Local\Programs\Python\Python312\Lib\site-packages\charset_normalizer\api.py first seen with mtime 1782847682.5585003
DEBUG 2026-07-11 02:24:51,507 autoreload 13996 22792 File C:\Users\aryan\AppData\Local\Programs\Python\Python312\Lib\operator.py first seen with mtime 1744097212.0
DEBUG 2026-07-11 02:24:51,507 autoreload 13996 22792 File C:\Users\aryan\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\utils\html.py first seen with mtime 1783716773.4834032
DEBUG 2026-07-11 02:24:51,507 autoreload 13996 22792 File C:\Users\aryan\AppData\Local\Programs\Python\Python312\Lib\site-packages\jinja2\idtracking.py first seen with mtime 1780865530.5790572
DEBUG 2026-07-11 02:24:51,507 autoreload 13996 22792 File C:\Users\aryan\AppData\Local\Programs\Python\Python312\Lib\site-packages\numpy\dtypes.py first seen with mtime 1782378403.5104704
DEBUG 2026-07-11 02:24:51,507 autoreload 13996 22792 File C:\Users\aryan\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\contrib\postgres\forms\ranges.py first seen with mtime 1783716772.8501115
DEBUG 2026-07-11 02:24:51,508 autoreload 13996 22792 File C:\Users\aryan\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\core\servers\__init__.py first seen with mtime 1783716773.345873
DEBUG 2026-07-11 02:24:51,508 autoreload 13996 22792 File C:\Users\aryan\AppData\Local\Programs\Python\Python312\Lib\site-packages\markdown\extensions\__init__.py first seen with mtime 1783020053.655139
